name,surname,fullname,sex,birth date,id,id_type
Cono Paolo,Santoro,Cono Paolo Santoro,male,1939-10-11,LK2605026F,Italian driving license card
Stefania,Filippelli,Stefania Filippelli,female,2008-05-21,HV99248XZ,Italian electronic identity card
Denisa,Francesca,Denisa Francesca,female,1940-07-01,MB52600PI,Italian electronic identity card
Lorenzo,Giudici,Lorenzo Giudici,male,1989-12-01,UO40378TZ,Italian electronic identity card
Vincenzo,Costanzo,Vincenzo Costanzo,male,1980-02-14,CN7420467,Italian passport
Zeno,Elena,Zeno Elena,female,1981-01-21,UJ8321473P,Italian driving license card
Simonetta,Calò,Simonetta Calò,female,1998-10-11,YB14212VD,Italian electronic identity card
Villapitti,Amerighi,Villapitti Amerighi,female,1964-10-31,AQ9330618,Italian passport
Vincenzo,Costanzo,Vincenzo Costanzo,male,1966-05-13,BG9651268,Italian passport
Elio,Carone,Elio Carone,male,2014-08-28,XJ4466607U,Italian driving license card
Andrea,Cansani,Andrea Cansani,male,1954-05-18,LG40109OV,Italian electronic identity card
Vecchio,Mariano,Vecchio Mariano,male,1936-05-21,JF7705526Z,Italian driving license card
Nicola,Di Domenica,Nicola Di Domenica,male,1948-05-25,WU8502052P,Italian driving license card
Martina,Sabatino,Martina Sabatino,female,1988-06-21,QM1759972,Italian passport
Marinella,Fasolato,Marinella Fasolato,female,2016-09-03,FD88263CH,Italian electronic identity card
Francesco,Greco,Francesco Greco,male,1944-07-18,WR4049627Z,Italian driving license card
Enrico,Griggio,Enrico Griggio,male,2018-01-02,GV7171555Y,Italian driving license card
Roberto,Zucchetto,Roberto Zucchetto,male,1992-09-24,VC36925VG,Italian electronic identity card
Manuel,La Terra,Manuel La Terra,male,1951-05-11,YC93668ZY,Italian electronic identity card
Chiara,Autorino,Chiara Autorino,female,1979-01-18,RO9194031,Italian passport
Blessing,Nnamdi,Blessing Nnamdi,male,1967-05-21,IH6196991E,Italian driving license card
Cristina,Palmeri,Cristina Palmeri,female,2007-08-09,FH25814HV,Italian electronic identity card
Emanuele,Parrinello,Emanuele Parrinello,male,1982-07-14,BJ52099MO,Italian electronic identity card
Katia,Cartuccia,Katia Cartuccia,female,1965-11-15,SY81679ZW,Italian electronic identity card
Oreste,Vitelli,Oreste Vitelli,male,2016-12-22,WM7583300J,Italian driving license card
Giulio,Savini,Giulio Savini,male,1967-07-07,GZ23492KU,Italian electronic identity card
Niko,Doko,Niko Doko,male,2019-01-04,AE5704023U,Italian driving license card
Chiara,Corradi,Chiara Corradi,female,2001-12-24,VV3264430I,Italian driving license card
Halima,Kazi,Halima Kazi,female,1968-04-01,BC3207220Q,Italian driving license card
Emilio,Prosapio,Emilio Prosapio,male,1961-04-19,BS2444175,Italian passport
Federico,Stefani,Federico Stefani,male,1951-01-01,GU8927825,Italian passport
Elena,Gilbert,Elena Gilbert,female,1961-08-13,NG6663737,Italian passport
Rosario,Puccio,Rosario Puccio,male,1988-07-14,UZ7467970,Italian passport
Maria,Napoli,Maria Napoli,female,1967-03-13,TJ83733PF,Italian electronic identity card
Ivana,Coppola,Ivana Coppola,female,1996-05-27,EO18278YQ,Italian electronic identity card
Valentina,Cancellieri,Valentina Cancellieri,female,1972-02-28,ZK3619175,Italian passport
Mattia,Baggio,Mattia Baggio,male,1964-07-31,LT4839616,Italian passport
Mimma,Arcadio,Mimma Arcadio,female,1984-11-25,IK9325076,Italian passport
Piero,Cortopassi,Piero Cortopassi,male,1937-06-11,QJ5960823M,Italian driving license card
Rupsha,Banerjee,Rupsha Banerjee,female,2013-04-23,RV9368183,Italian passport
Abderrahim,Boulahrouf,Abderrahim Boulahrouf,male,1934-12-25,DD77892XM,Italian electronic identity card
Samuel,Armonia,Samuel Armonia,male,1942-05-09,BD7972772M,Italian driving license card
Helen,Gebrele,Helen Gebrele,female,1989-01-19,IH94919YG,Italian electronic identity card
Rosa,Pollino,Rosa Pollino,female,1935-03-01,XB98306WZ,Italian electronic identity card
Solo,Ye,Solo Ye,male,1949-08-28,JH3122474,Italian passport
Salvatore,Giuri,Salvatore Giuri,male,2018-11-16,NU78039PE,Italian electronic identity card
Tiziano,Marcelli,Tiziano Marcelli,male,1958-08-16,OY8988749,Italian passport
Matteo,Zhang,Matteo Zhang,male,1974-12-09,PY4113311,Italian passport
Giuliana,Cimaroli Zotta,Giuliana Cimaroli Zotta,female,1945-08-07,GL6179244I,Italian driving license card
Adolfo,Bucchi,Adolfo Bucchi,male,1944-09-05,TD45273WD,Italian electronic identity card
Maria Rosaria,Casertano,Maria Rosaria Casertano,female,1943-03-07,UB53515FI,Italian electronic identity card
Vito,Lamaddalena,Vito Lamaddalena,male,1968-12-13,JB6296421G,Italian driving license card
德源,叶,德源 叶,male,1965-07-11,YT4385383Z,Italian driving license card
Davide,Pellegrino,Davide Pellegrino,male,1987-12-23,QY4727831,Italian passport
Fabrizio,Vollaro,Fabrizio Vollaro,male,1944-10-05,HG1119086A,Italian driving license card
