name,surname,fullname,sex,birth date,id,id_type,phone_number
Cono Paolo,Santoro,Cono Paolo Santoro,male,1939-10-11,LK2605026F,Italian driving license card,00393701457102
Stefania,Filippelli,Stefania Filippelli,female,2008-05-21,HV99248XZ,Italian electronic identity card,00393739143130
Denisa,Francesca,Denisa Francesca,female,1940-07-01,MB52600PI,Italian electronic identity card,00393783182187
Lorenzo,Giudici,Lorenzo Giudici,male,1989-12-01,UO40378TZ,Italian electronic identity card,00393701821254
Vincenzo,Costanzo,Vincenzo Costanzo,male,1980-02-14,CN7420467,Italian passport,00393512181014
Zeno,Elena,Zeno Elena,female,1981-01-21,UJ8321473P,Italian driving license card,00393402985922
Simonetta,Calò,Simonetta Calò,female,1998-10-11,YB14212VD,Italian electronic identity card,00393772513513
Villapitti,Amerighi,Villapitti Amerighi,female,1964-10-31,AQ9330618,Italian passport,00393316461903
Vincenzo,Costanzo,Vincenzo Costanzo,male,1966-05-13,BG9651268,Italian passport,00393824808795
Elio,Carone,Elio Carone,male,2014-08-28,XJ4466607U,Italian driving license card,00393703936763
Andrea,Cansani,Andrea Cansani,male,1954-05-18,LG40109OV,Italian electronic identity card,00393783594169
Vecchio,Mariano,Vecchio Mariano,male,1936-05-21,JF7705526Z,Italian driving license card,00393783524441
Nicola,Di Domenica,Nicola Di Domenica,male,1948-05-25,WU8502052P,Italian driving license card,00393701877374
Martina,Sabatino,Martina Sabatino,female,1988-06-21,QM1759972,Italian passport,00393701293203
Marinella,Fasolato,Marinella Fasolato,female,2016-09-03,FD88263CH,Italian electronic identity card,00393224095180
Francesco,Greco,Francesco Greco,male,1944-07-18,WR4049627Z,Italian driving license card,00393792232997
Enrico,Griggio,Enrico Griggio,male,2018-01-02,GV7171555Y,Italian driving license card,00393793730035
Roberto,Zucchetto,Roberto Zucchetto,male,1992-09-24,VC36925VG,Italian electronic identity card,00393520262708
Manuel,La Terra,Manuel La Terra,male,1951-05-11,YC93668ZY,Italian electronic identity card,00393247028420
Chiara,Autorino,Chiara Autorino,female,1979-01-18,RO9194031,Italian passport,00393710553099
Blessing,Nnamdi,Blessing Nnamdi,male,1967-05-21,IH6196991E,Italian driving license card,00393778639952
Cristina,Palmeri,Cristina Palmeri,female,2007-08-09,FH25814HV,Italian electronic identity card,00393209890286
Emanuele,Parrinello,Emanuele Parrinello,male,1982-07-14,BJ52099MO,Italian electronic identity card,00393809156355
Katia,Cartuccia,Katia Cartuccia,female,1965-11-15,SY81679ZW,Italian electronic identity card,00393713193297
Oreste,Vitelli,Oreste Vitelli,male,2016-12-22,WM7583300J,Italian driving license card,00393516625325
Giulio,Savini,Giulio Savini,male,1967-07-07,GZ23492KU,Italian electronic identity card,00393928774962
Niko,Doko,Niko Doko,male,2019-01-04,AE5704023U,Italian driving license card,00393703103669
Chiara,Corradi,Chiara Corradi,female,2001-12-24,VV3264430I,Italian driving license card,00393793468330
Halima,Kazi,Halima Kazi,female,1968-04-01,BC3207220Q,Italian driving license card,00393778190983
Emilio,Prosapio,Emilio Prosapio,male,1961-04-19,BS2444175,Italian passport,00393701462992
Federico,Stefani,Federico Stefani,male,1951-01-01,GU8927825,Italian passport,00393773382307
Elena,Gilbert,Elena Gilbert,female,1961-08-13,NG6663737,Italian passport,00393431278163
Rosario,Puccio,Rosario Puccio,male,1988-07-14,UZ7467970,Italian passport,00393517708980
Maria,Napoli,Maria Napoli,female,1967-03-13,TJ83733PF,Italian electronic identity card,00393773106611
Ivana,Coppola,Ivana Coppola,female,1996-05-27,EO18278YQ,Italian electronic identity card,00393793228311
Valentina,Cancellieri,Valentina Cancellieri,female,1972-02-28,ZK3619175,Italian passport,00393368065526
Mattia,Baggio,Mattia Baggio,male,1964-07-31,LT4839616,Italian passport,00393777244637
Mimma,Arcadio,Mimma Arcadio,female,1984-11-25,IK9325076,Italian passport,00393551228091
Piero,Cortopassi,Piero Cortopassi,male,1937-06-11,QJ5960823M,Italian driving license card,00393802362950
Rupsha,Banerjee,Rupsha Banerjee,female,2013-04-23,RV9368183,Italian passport,00393778525552
Abderrahim,Boulahrouf,Abderrahim Boulahrouf,male,1934-12-25,DD77892XM,Italian electronic identity card,00393715135227
Samuel,Armonia,Samuel Armonia,male,1942-05-09,BD7972772M,Italian driving license card,00393468446296
Helen,Gebrele,Helen Gebrele,female,1989-01-19,IH94919YG,Italian electronic identity card,00393783542897
Rosa,Pollino,Rosa Pollino,female,1935-03-01,XB98306WZ,Italian electronic identity card,00393284523446
Solo,Ye,Solo Ye,male,1949-08-28,JH3122474,Italian passport,00393202967542
Salvatore,Giuri,Salvatore Giuri,male,2018-11-16,NU78039PE,Italian electronic identity card,00393513813463
Tiziano,Marcelli,Tiziano Marcelli,male,1958-08-16,OY8988749,Italian passport,00393638086966
Matteo,Zhang,Matteo Zhang,male,1974-12-09,PY4113311,Italian passport,00393510621980
Giuliana,Cimaroli Zotta,Giuliana Cimaroli Zotta,female,1945-08-07,GL6179244I,Italian driving license card,00393207031197
Adolfo,Bucchi,Adolfo Bucchi,male,1944-09-05,TD45273WD,Italian electronic identity card,00393778175820
Maria Rosaria,Casertano,Maria Rosaria Casertano,female,1943-03-07,UB53515FI,Italian electronic identity card,00393773976064
Vito,Lamaddalena,Vito Lamaddalena,male,1968-12-13,JB6296421G,Italian driving license card,00393737004459
